站代號,類別,站名,縣市,鄉鎮區,地址,電話,服務中心,營業中,國道高速公路,無鉛92,無鉛95,無鉛98,酒精汽油,煤油,超柴,會員卡,刷卡自助,自助柴油站,電子發票,悠遊卡,一卡通,HappyCash,經度,緯度,營業時間,洗車類別,etag申裝儲值時間,保養間時間
AA6212A31,加盟站,金崙,台東縣,金峰鄉,賓茂村賓茂路64號一樓(備註：12:00-13:00休息),(089)771009,D611C,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,120.959587,22.531713,07:00-19:00,"
    ","
    ","
    "
AA6212A32,加盟站,美得豐工,台東縣,台東市,豐田里25鄰中興路四段203號,(089)384511,D611C,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,121.098297,22.77384,06:00-22:00,"
    ","
    ","
    "
AA6212A33,加盟站,北基更生路,台東縣,台東市,南榮里3鄰更生路1199號,(089)220731,D611C,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,121.128608,22.775278,06:30-22:30,"
    ","
    ","
    "
AA6212A35,加盟站,東進,台東縣,鹿野鄉,瑞豐村中山路123號,(089)581809,D611C,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,121.138883,22.982499,06:30-20:30,"
    ","
    ","
    "
AA6212A37,加盟站,加賀,台東縣,台東市,知本路2段580號,(089)510888,D611C,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,121.0692561,22.7106797,06:30-22:00,"
    ","
    ","
    "
CC6212A03,加盟站,中潭,南投縣,埔里鎮,南村里中山路四段81號,(049)2914170,D412F,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.935695,23.965226,00:00-24:00,"
    ","
    ","
    "
CC6212A04,加盟站,萬豐,台中市,霧峰區,中正路93號,(04)23335077,D4116,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.695935,24.020043,06:30-23:30,"
    ","
    ","
    "
CC6212A10,加盟站,博愛,南投縣,草屯鎮,博愛路999號,(049)2336084,D412F,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,120.671006,23.988424,00:00-24:00,"
    ","
    ","
    "
CC6212A14,加盟站,信興,彰化縣,溪湖鎮,員鹿路112號,(04)8812736,D412D,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,120.491459,23.954813,00:00-24:00,"
    ","
    ","
    "
CC6212A15,加盟站,楠埔,南投縣,草屯鎮,中正路233-89號,(049)2552846,D412F,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,120.735473,23.983449,00:00-24:00,"
    ","
    ","
    "
CC6212A18,加盟站,洽維,台中市,沙鹿區,六路里臺灣大道六段808號,(04)26317135,D412B,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,120.581641,24.21122,00:00-24:00,"
    ","
    ","
    "
CC6212A19,加盟站,龍益,彰化縣,芬園鄉,溪頭村員草路一段63號,(049)2525891,D412D,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,120.643766,23.970529,06:30-21:00,"
    ","
    ","
    "
CC6212A23,加盟站,挖仔,彰化縣,二林鎮,華崙里二溪路七段552號,(04)8684600,D412D,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,120.435465,23.953252,06:30-22:30,"
    ","
    ","
    "
CC6212A26,加盟站,東成,台中市,東勢區,東關路四段1298號,(04)25852721,D412B,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,120.840254,24.190635,06:00-22:00,"
    ","
    ","
    "
CC6212A29,加盟站,竹塘,彰化縣,竹塘鄉,竹林路一段165號,(04)8975525,D412D,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,120.429479,23.858146,06:00-22:00,"
    ","
    ","
    "
CC6212A30,加盟站,東亞正,彰化縣,芳苑鄉,和平村芳漢路王功段251號,(04)8931820,D412D,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,120.336651,23.9594513,06:00-21:00,"
    ","
    ","
    "
CC6212A31,加盟站,金界,彰化縣,福興鄉,沿海路五段112號,(04)7755536,D412D,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,120.428438,24.045587,07:00-22:00,"
    ","
    ","
    "
CC6212A32,加盟站,永益,彰化縣,福興鄉,沿海路三段213號,(04)7704117,D412D,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,120.413471,24.029513,06:00-23:00,"
    ","
    ","
    "
CC6212A33,加盟站,彰水,彰化縣,埤頭鄉,豐崙村彰水路四段75號,(04)8926228,D412D,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,120.465667,23.905211,06:00-21:30,"
    ","
    ","
    "
CC6212A36,加盟站,重光,台中市,西區,向上路一段272號,(04)23020562,D4116,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.657517,24.146861,00:00-24:00,"
    ","
    ","
    "
CC6212A45,加盟站,新興,南投縣,竹山鎮,集山路2段110號,(049)2623828,D412F,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,120.7129763,23.7989919,06:30-21:00,"
    ","
    ","
    "
CC6212A46,加盟站,原斗(二林),彰化縣,二林鎮,斗苑路1段836號,(04)8902268,D412D,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,120.427623,23.896932,06:00-21:00,"
    ","
    ","
    "
CC6212A47,加盟站,柯厝,彰化縣,鹿港鎮,鹿草路2段311-1號,(04)7774213,D412D,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.440444,24.073072,06:30-22:00,"
    ","
    ","
    "
CC6212A49,加盟站,光明,彰化縣,埔鹽鄉,彰水路2段174號,(04)8651552,D412D,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,120.479513,24.001426,06:30-22:30,"
    ","
    ","
    "
CC6212A52,加盟站,中宏,南投縣,草屯鎮,中正路434號,(049)2569919,D412F,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.707428,23.97796,00:00-24:00,"
    ","
    ","
    "
CC6212A54,加盟站,饒明,彰化縣,員林市,中央里員集路二段227號,(04)8336710,D412D,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,120.576174,23.941968,00:00-24:00,"
    ","
    ","
    "
CC6212A59,加盟站,進化北路,台中市,北區,進化北路309號,(04)22341929,D4116,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,120.681876,24.162992,00:00-24:00,"
    ","
    ","
    "
CC6212A60,加盟站,日茂,彰化縣,埔心鄉,舊館村員鹿路4段325號,(04)8296981,D412D,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.522664,23.949734,00:00-24:00,"
    ","
    ","
    "
CC6212A63,加盟站,台大豐原,台中市,豐原區,三豐路二段345號,(04)25121770,D412B,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,120.721309,24.272264,00:00-24:00,"
    ","
    ","
    "
CC6212A64,加盟站,土牛,台中市,石岡區,和盛里豐勢路29號,(04)25824010,D412B,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,120.815733,24.260292,06:00-22:00,"
    ","
    ","
    "
CC6212A66,加盟站,勝中,彰化縣,花壇鄉,花壇村中山路1段311號,(04)7860888,D412D,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,120.544696,24.021144,00:00-24:00,"
    ","
    ","
    "
CC6212A67,加盟站,日動,南投縣,名間鄉,名松路二段750號,(049)2272682,D412F,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,120.629288,23.856013,06:30-21:00,"
    ","
    ","
    "
CC6212A70,加盟站,仁山,台中市,西區,忠明南路434號,(04)23723706,D4116,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,120.657144,24.134156,06:45-22:45,"
    ","
    ","
    "
CC6212A73,加盟站,祝福,台中市,清水區,田寮里高美路96號,(04)26271297,D412B,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,120.575493,24.278866,06:20-22:20,"
    ","
    ","
    "
CC6212A76,加盟站,新港,彰化縣,伸港鄉,大同村建國路33號,(04)7987488,D412D,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,120.485805,24.159891,06:30-22:00,"
    ","
    ","
    "
CC6212A80,加盟站,金山,彰化縣,和美鎮,彰新路三段99號(每周星期日公休),(04)7360085,D412D,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,120.530947,24.106133,06:00-20:00,"
    ","
    ","
    "
CC6212A82,加盟站,忠明圓環,台中市,西區,忠明南路14號,(04)23252807,D4116,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,120.658914,24.156271,00:00-24:00,"
    ","
    ","
    "
CC6212A83,加盟站,來來,彰化縣,花壇鄉,南口村中山路二段447號,(04)7860786,D412D,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,120.535297,24.036073,06:00-22:00,"
    ","
    ","
    "
CC6212A84,加盟站,清泉,台中市,沙鹿區,公明里中清路六段489號,(04)26153676,D412B,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.602283,24.248901,00:00-24:00,"
    ","
    ","
    "
CC6212A87,加盟站,新田,台中市,潭子區,豐興路二段376號,(04)25375000,D412B,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.723047,24.213793,00:00-24:00,"
    ","
    ","
    "
CC6212A90,加盟站,泉興,彰化縣,伸港鄉,中興路3段545號,(04)7987459,D412D,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,120.49574,24.173903,07:00-22:00,"
    ","
    ","
    "
CC6212A92,加盟站,坪林,台中市,太平區,中山路二段299號,(04)23930205,D4116,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.731166,24.150209,06:30-23:00,"
    ","
    ","
    "
CC6212A97,加盟站,新平,台中市,太平區,東平路828號,(04)22758731,D4116,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.715922,24.1336399,00:00-24:00,"
    ","
    ","
    "
CC6212B03,加盟站,永興,南投縣,草屯鎮,碧興路一段1000號,(049)2353059,D412F,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.651961,23.9773459,06:30-19:00,"
    ","
    ","
    "
CC6212B04,加盟站,永隆,南投縣,草屯鎮,碧興路一段1001號,(049)2353059,D412F,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,120.6521959,23.9740664,06:00-20:00,"
    ","
    ","
    "
CC6212B05,加盟站,中豐路,台中市,豐原區,鎌村路462號,(04)25385000,D412B,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.724184,24.225794,06:00-23:00,"
    ","
    ","
    "
CC6212B06,加盟站,東虹,台中市,東區,建成路495號,(04)22124320,D4116,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,120.696402,24.135166,00:00-24:00,"
    ","
    ","
    "
CC6212B08,加盟站,大里公園,台中市,大里區,國光路一段88號,(04)24834888,D4116,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,120.683799,24.097944,00:00-24:00,"
    ","
    ","
    "
CC6212B09,加盟站,彰鹿,彰化縣,鹿港鎮,東崎里彰鹿路五段242號,(04)7766333,D412D,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.473741,24.048845,00:00-24:00,"
    ","
    ","
    "
CC6212B10,加盟站,柑林,南投縣,國姓鄉,中正路二段568號,(049)2722768,D412F,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,120.840701,24.028043,00:00-24:00,"
    ","
    ","
    "
CC6212B11,加盟站,神崗,台中市,神岡區,中山路1130號,(04)25610541,D412B,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,120.671138,24.256277,00:00-24:00,"
    ","
    ","
    "
CC6212B13,加盟站,佑晟,台中市,大里區,仁化路345號,(04)24910929,D4116,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,120.706476,24.0953079,07:00-22:00,"
    ","
    ","
    "
CC6212B21,加盟站,甲東,台中市,外埔區,甲后路5段9號,(04)26884227,D412B,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.638455,24.341691,00:00-24:00,"
    ","
    ","
    "
CC6212B24,加盟站,慶和,台中市,梧棲區,港埠路一段601號,(04)26302300,D412B,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,120.530791,24.237735,06:30-22:30,"
    ","
    ","
    "
CC6212B27,加盟站,員村和美,彰化縣,和美鎮,彰美路三段355號,(04)7553433,D412D,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.517992,24.10251,00:00-24:00,"
    ","
    ","
    "
CC6212B28,加盟站,豐源,台中市,豐原區,中山路82號,(04)25313658,D412B,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,120.710869,24.237368,00:00-24:00,"
    ","
    ","
    "
CC6212B32,加盟站,長流,南投縣,國姓鄉,大長路577-13號,(049)2431897,D412F,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.876621,24.064589,06:00-21:00,"
    ","
    ","
    "
CC6212B37,加盟站,東大,台中市,西屯區,福聯里臺灣大道四段1832號,(04)23599998,D4116,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,120.601051,24.182731,00:00-24:00,"
    ","
    ","
    "
CC6212B42,加盟站,瑞國,台中市,沙鹿區,中山路24-48號,(04)26621008,D412B,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,120.582522,24.24438,07:00-18:00,"
    ","
    ","
    "
CC6212B44,加盟站,南光,南投縣,水里鄉,南光村中山路一段149號,(049)2777558,D412F,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,120.8544781,23.8070127,06:00-22:00,"
    ","
    ","
    "
CC6212B47,加盟站,成功(溪洲),彰化縣,溪州鄉,登山路三段130號,(04)8801461,D412D,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,120.538924,23.831612,07:00-21:00,"
    ","
    ","
    "
CC6212B48,加盟站,金忠,台中市,沙鹿區,臺灣大道六段310號,(04)26323127,D412B,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,120.580831,24.1984,00:00-24:00,"
    ","
    ","
    "
CC6212B50,加盟站,西湖,台中市,大里區,西湖里大峰路68號,(04)24924958,D4116,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.6901547,24.0757621,06:30-22:30,"
    ","
    ","
    "
CC6212B51,加盟站,通丞,南投縣,名間鄉,名松路二段35號,(049)2580388,D412F,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,120.639363,23.8331071,07:00-21:00,"
    ","
    ","
    "
CC6212B55,加盟站,向上,台中市,南屯區,向上路二段185號,(04)23844749,D4116,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.641995,24.146772,07:00-22:30,"
    ","
    ","
    "
CC6212B56,加盟站,自由,台中市,東區,自由路四段170號,(04)22122780,D4116,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.701413,24.142645,00:00-24:00,"
    ","
    ","
    "
CC6212B57,加盟站,大智,台中市,東區,大智路85號,(04)22812563,D4116,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.689245,24.133987,07:00-23:00,"
    ","
    ","
    "
CC6212B59,加盟站,東平,台中市,太平區,東平路85號,(04)22753528,D4116,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.733924,24.1342279,07:00-22:00,"
    ","
    ","
    "
CC6212B60,加盟站,知高,台中市,南屯區,五權西路三段208號,(04)23848206,D4116,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,120.612174,24.154595,06:30-23:00,"
    ","
    ","
    "
CC6212B61,加盟站,旱溪,台中市,東區,旱溪街217號,(04)22139348,D4116,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.702093,24.14039,06:30-23:00,"
    ","
    ","
    "
CC6212B62,加盟站,杉春,彰化縣,花壇鄉,彰員路1段585號,(04)7867127,D412D,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,120.565413,24.014456,06:30-22:00,"
    ","
    ","
    "
CC6212B64,加盟站,安和,台中市,西屯區,安和路51-8號,(04)23598000,D4116,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.618963,24.166172,07:00-23:00,"
    ","
    ","
    "
CC6212B65,加盟站,五權路,台中市,西區,五權路2-210號,(04)23755291,D4116,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.667027,24.132993,00:00-24:00,"
    ","
    ","
    "
CC6212B66,加盟站,河南路,台中市,西屯區,河南路二段341號,(04)27073666,D4116,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,120.645289,24.172045,00:00-24:00,"
    ","
    ","
    "
CC6212B70,加盟站,金旺,台中市,太平區,東平里中山路一段116號(備註:每週六日營業時間07:00-22:00),(04)22753778,D4116,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.732608,24.137797,07:00-22:30,"
    ","
    ","
    "
CC6212B71,加盟站,新中橫,南投縣,信義鄉,羅娜村信筆巷182-1號,(049)2832396,D412F,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.888281,23.628877,06:00-21:00,"
    ","
    ","
    "
CC6212B72,加盟站,明潭,南投縣,水里鄉,中山路1段461號,(049)2777985,D412F,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.850446,23.811246,00:00-24:00,"
    ","
    ","
    "
CC6212B77,加盟站,北基雅潭,台中市,潭子區,雅潭路二段107號,(04)25313100,D412B,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,120.694374,24.215726,00:00-24:00,"
    ","
    ","
    "
CC6212B79,加盟站,泰峰(田中),彰化縣,田中鎮,中州路二段637號,(04)8756633,D412D,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,120.570821,23.849168,06:00-22:00,"
    ","
    ","
    "
CC6212B82,加盟站,龍泰,南投縣,草屯鎮,中正路1322號,(049)2568460,D412F,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.688866,23.9948719,06:00-22:00,"
    ","
    ","
    "
CC6212B83,加盟站,東湖,台中市,大里區,中興路一段109-1號,(04)24951468,D4116,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.697184,24.083249,00:00-24:00,"
    ","
    ","
    "
CC6212B94,加盟站,水湳,台中市,北屯區,中清路二段658號,(04)22911146,D4116,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,120.665253,24.1838839,00:00-24:00,"
    ","
    ","
    "
CC6212B97,加盟站,中華,台中市,梧棲區,中華路一段538號,(04)26356526,D412B,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,120.545788,24.22836,06:30-22:30,"
    ","
    ","
    "
CC6212B98,加盟站,新林,南投縣,草屯鎮,成功路一段1號,(049)2307084,D412F,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.680016,23.9751739,00:00-24:00,"
    ","
    ","
    "
CC6212C01,加盟站,內埔,台中市,后里區,南村路263號,(04)25570996,D412B,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,120.716086,24.296585,06:30-21:30,"
    ","
    ","
    "
CC6212C02,加盟站,春社,台中市,南屯區,永春路35-25號,(04)23825338,D4116,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.6144593,24.1389953,00:00-24:00,"
    ","
    ","
    "
CC6212C03,加盟站,永慶,彰化縣,彰化市,金馬路三段446-6號,(04)7623179,D412D,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,120.529273,24.08132,00:00-24:00,"
    ","
    ","
    "
CC6212C08,加盟站,永春,台中市,南屯區,永春路42-37號,(04)23865966,D4116,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.61466,24.139346,00:00-24:00,"
    ","
    ","
    "
CC6212C10,加盟站,碧山,南投縣,草屯鎮,碧山路709號,(049)2305409,D412F,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.672162,23.976886,06:30-22:00,"
    ","
    ","
    "
CC6212C11,加盟站,萬和,台中市,南屯區,黎明路一段515號,(04)24793637,D4116,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.630042,24.123068,00:00-24:00,"
    ","
    ","
    "
CC6212C13,加盟站,加豐,台中市,梧棲區,中華路一段679號,(04)26300336,D412B,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,120.546308,24.231775,06:30-22:30,"
    ","
    ","
    "
CC6212C15,加盟站,成功路,南投縣,草屯鎮,新豐里成功路一段716號,(049)2338634,D412F,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.684664,23.9888709,00:00-24:00,"
    ","
    ","
    "
CC6212C17,加盟站,太原,台中市,北屯區,太原路三段388號,(04)22315627,D4116,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.694396,24.1648329,00:00-24:00,"
    ","
    ","
    "
CC6212C20,加盟站,社口,彰化縣,芬園鄉,復興路58號,(049)2522699,D412D,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,120.630655,24.015509,00:00-24:00,"
    ","
    ","
    "
CC6212C22,加盟站,北基南屯,台中市,南屯區,工業區25路25-1號,(04)23502626,D4116,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,120.6019555,24.160817,00:00-24:00,"
    ","
    ","
    "
CC6212C25,加盟站,立新,台中市,大里區,新仁里新仁路一段71-38號,(04)22792201,D4116,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.706444,24.111705,06:30-22:30,"
    ","
    ","
    "
CC6212C27,加盟站,中清站,台中市,西屯區,中清路三段150號,(04)24258318,D4116,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.722355,24.134202,00:00-24:00,"
    ","
    ","
    "
CC6212C28,加盟站,新益,台中市,太平區,東平里東平路198號,(04)22781722,D4116,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.722339,24.134163,06:30-22:30,"
    ","
    ","
    "
CC6212C29,加盟站,總興,台中市,南區,工學北路2號,(04)22625727,D4116,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,120.661785,24.119764,00:00-24:00,"
    ","
    ","
    "
CC6212C33,加盟站,億富,台中市,東勢區,詒福里東關路六段437號,(04)25852212,D412B,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,120.837244,24.228338,06:00-22:00,"
    ","
    ","
    "
CC6212C35,加盟站,寶成,台中市,沙鹿區,光華路282號,(04)26651985,D412B,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.564995,24.240581,00:00-24:00,"
    ","
    ","
    "
CC6212C42,加盟站,仁友,台中市,大里區,仁化里仁化路678號,(04)24918876,D4116,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,120.695425,24.096516,07:00-22:30,"
    ","
    ","
    "
CC6212C44,加盟站,台糖忠勇,台中市,南屯區,忠勇路16-5號,(04)23853734,D4116,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,120.611907,24.136067,06:30-22:30,"
    ","
    ","
    "
CC6212C45,加盟站,仁化,台中市,大里區,仁化里仁化路686號,(04)24919529,D4116,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.694427,24.095497,06:30-22:30,"
    ","
    ","
    "
CC6212C46,加盟站,豐洲,台中市,神岡區,豐洲里豐洲路535號,(04)25246933,D412B,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,120.702522,24.262493,06:00-24:00,"
    ","
    ","
    "
CC6212C49,加盟站,大度山,台中市,西屯區,福聯里臺灣大道五段142號1樓,(04)23594311,D4116,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.590674,24.184435,07:00-22:30,"
    ","
    ","
    "
CC6212C50,加盟站,木林,彰化縣,二林鎮,斗苑路四段111號,(04)8953838,D412D,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.385346,23.898914,06:00-20:00,"
    ","
    ","
    "
CC6212C51,加盟站,真工草屯,南投縣,草屯鎮,太平路二段21號,(049)2334733,D412F,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,120.682703,23.96987,00:00-24:00,"
    ","
    ","
    "
